restaurant_overall_rating,user_rating,user_review,restaurant_num_reviews,restaurant_location,restaurant_name,user_name,user_location,restaurant_phone,restaurant_url
4.0,5.0,"If you're in D.C. YOU NEED TO GO HERE.I was in D.C. for a work conference and while stumbling around town, my group got tired and hungry. What are we to do? Yelp stuff, obviously. Making reservations with Founding Farmers is actually really easy since they partner up with Yelp and OpenTable.We set our reservation for 7:30pm. We arrived at 7. They seat us at 7:10pm.When we initially got there, we browsed around the bar just to get a taste of the menu and see what the deal was all about. According to their staff, their menu changes based on the farmers harvest for that year... now that's freaking cool. I don't know why this concept isn't in California yet!Anyways, I ordered this amazing blackberry sour with egg white as my first drink of many drinks that night. What I really enjoyed about that drink was that it tasted like a whiskey sour, but it had hints of eggwhite (obviously) and blackberry (again, obviously), AND A HINT OF CINNAMON (WOAH DUDE).So we were seated promptly and got to our orders almost immediately. The chicken and waffles were just freaking calling my name man, I HAD to do it. We also ordered chicken wings and this amazing cornbread that came with a honey syrup... oh god.The dinner was absolutely phenomenal! The chicken was slapped with this amazing gravy and the waffles were Belgium styled (so that just means they're sweeter or whatever I guess) and good god. JUST STAHP. It was honest to god one of the most satisfying dinner's I've ever had. I initially didn't think it was enough food, but while trying to finish it, it dawned on me that it was a LOT of food and super satisfying.The staff is amazing, the decor is fabulous, the drinks are amazing, AND THE FOOD IS OFF THE HOOK. GO HERE!!",6584,"Washington, DC",Founding Farmers,Alan D.,"San Jose, CA",2028228783,/biz/founding-farmers-washington
4.0,3.0,"I've never seen an establishment with more Yelp reviews!Founding Farmers is VERY popular.  We ate at 6pm and the restaurant was packed with groups of people waiting outside.  Definitely get a reservation before coming.  They're very organized and if you booked a table, they will most certainly honor it despite how many walk-ins might be waiting.The menu is very American/Southern. There were lots of tempting choices (i.e., chicken and waffles... got a weakness for it) and few ""healthy"" choices.  Everything looks pretty hearty and heavy.We started with an order of fried green tomatoes ($8) because I've never had it before. The breading was a little too thick and hard for my taste but I don't know if it's meant to be that way.  The tomato slice are indeed green and tangy! The order came with a green sauce and a goat cheese sauce.We ordered a 14 oz. prime rib (medium) with green beans with candied lemon and the potato salad with pickled vegetables. For $28, it was quite the deal because the portions were massive. The prime rib was OK in flavor. It came with a side of gravy and horseradish sauce. The green beans and potato salad weren't that good. They had pickled cauliflower in the potato salad which gave the whole side a kind of stinkiness.We also had the seafood bucatini which my stomach was intimidated by because it was so big. The seafood included lots of mussels, half a lobster tail, a few shrimp and a piece of fried cod (think fish and chips). It was all very fresh. The sauce had diced tomatoes and a buttery-rich finish. The pasta was good but almost too much. It was al dente but it kind of clung to the bottom of the cast-iron platter. All-in-all, a great deal at $29 for this massive serving of fresh seafood. It also had two large pieces of grilled bread -- who can eat all that food?Note to self -- order the fish and chips next time.  The fried cod in my seafood bucatini was AMAZING.",6584,"Washington, DC",Founding Farmers,Susan K.,"Los Angeles, CA",2028228783,/biz/founding-farmers-washington
4.0,4.0,"This was a last minute choice for me and a date.  He mentioned that it might be busy; we went during lunch.  So, I was able to make a reservation online and arrived in 10 minutes.  It was a good thing that we did because the place was packed.  However, we were immediately seated.  Our server was friendly and offered a number of tasty options.  The food and presentation were very good.  I had the glazed salmon, and my date had the crab cakes.  We were very pleased.All in all, a good place.  The presentation is fantastic....maybe even worthy of a picture.  The portions were adequate, and the service was good.  We will definitely be back!",6584,"Washington, DC",Founding Farmers,Arielle S.,"Fredericksburg, VA",2028228783,/biz/founding-farmers-washington
4.0,5.0,"Just run there right now. It's that good! We had 1:15 reservations on a Monday which I didn't think we would need at all because it was a Monday...but helloooo busy! The place was completely jumping. We were seated just before 1:30 and there was STILL a wait behind us. I will say that I had big expectations for this place and they didn't steer me wrong!We started with the cornbread and honey. Way too big for 2 people and I wish they had 1/2 portions. It had actual corn inside which was crazy to me and I will never make my corn bread without it again.I chose the vegetable sandwich for lunch- which might sound boring. Best sandwich I have ever had. If you love veggies and goat cheese, definitely get this. I had an arnold palmer too because they make all their drinks/sodas/etc in house and I love things like this.Hubby had the chicken pot pie which everyone apparently complains about it because it doesn't have crust. I could have eaten the entire thing! it was like chowder with a delicious biscuit in the middle to soak up all the goodness.If we're back in DC, I'll come here- for lunch, dinner, brunch or whatever they are serving that day!",6584,"Washington, DC",Founding Farmers,Amelia S.,"Providence, RI",2028228783,/biz/founding-farmers-washington
4.0,2.0,"Ton of Yelp reviews & highly rated but why the 2 stars?  For starters, my OpenTable reservation didn't make it thru to their reception desk so check your emails to confirm you actually have a reservation.The restaurant itself is really nice, does give me of a ""farm fresh to table"" feel, food is decent but our service was less than impressive.  Mr. Richard approached us, asked if we wanted some drinks, recommended a terrible cocktail that both my friend and I did not enjoy (The El Presidente or something).  While we were ordering, I asked if I could add scallops to my ravioli, waiter advised this was acceptable.  Per Yelp, the corn bread & fried tomatoes are all the rave so we ordered those as apps.  Richard approaches us again only to tell me the kitchen won't add scallops or anything to my dish, the alternative would be to add a small side of risotto with 3 scallops for $14.  I just said to go with the risotto instead of the ravioli.  Not 2 minutes later did our entrees come out & both the risotto and ravioli were placed in front of me.  I sent it back.  At this point, everything had already come out except our tomatoes!  We were basically done with our meal then asked him where it was- whoops he must've forgot.  The tomatoes came anyway, my fork and knife set were taken away, some other staff member gave me a new set only for it to be taken away by Richard.  I was handed a fork instead & I would like to note the knife would have been VERY helpful.Recommend:- Corn Bread. So light, fluffy and drool worthy with a side of butter & honey.  (We boxed this up & wasn't given the butter & honey)- Spinach Bleu Cheese Bacon Salad.  Very fresh, comes with caramelized onions and apples.  Recommended to share!- Butternut Squash Ravioli. This looked hand made, it was a good balance between sweet from the squash and savory from the garlic & herbs.  Just don't expect to order any protein or seafood on the side.NOT RECOMMENDED-Cucumber Snap Pea Side- there's nothing special about it, no spark, just basic cucumber and snap peas.El Presidente- If you're into bitter drinks, this would be for you but not me.His service was just very off-putting & the drink was bad.  Food is decent though!",6584,"Washington, DC",Founding Farmers,Connie C.,"Canoga Park, CA",2028228783,/biz/founding-farmers-washington
4.0,5.0,"The best cornbread bread I have ever had in my life with tender pieces of corn embedded inside the bread. It is served a skillet with honey butter.  Grilled cauliflower steak seasoned perfectly with a light pesto topping was delicious.. Broccolini was way too salty and did not finish it. The boneless ribeye was tender. For $1.50 more you can have a side of mac and cheese to substitute for one of listed sides. The Mac and cheese was delicious.Also had a Founding salad with fresh grapes and freshly cut avocado and soft homemade croutons. The waitress told me that everything is fresh and seasonal, so they do not have a freezer.",6584,"Washington, DC",Founding Farmers,Mocha G.,"Alameda, CA",2028228783,/biz/founding-farmers-washington
4.0,4.0,"Whenever I'm in the mood for some fresh, savory American comfort food or handcrafted cocktails, I think of Founding Farmers. Plus those decadent desserts are unmatched and meatless options keep me coming back. This flagship location has been popular among foodies and casual diners for years and for good reason! I've dined here numerous times with minimal disappointment- aside from the wait if I forget to make a reservation. Most times, I sit at the bar to be entertained by the mixologists who respond to requests like ""Make me something fun"" with grace. They got mad skills crafting tasty cocktails that are also beautiful. Some of my favorite signature dishes include:-Cedar plank salmon-Chicken & Waffles-Chicken pot pie-Chicken salad-Butternut squash mascarpone ravioli-Starters: Fried green tomatoes & Devilish Eggs-Crop list sides: mac-n-cheese & mint watermelonThe upbeat atmosphere keeps the noise level in the entire restaurant high, but it's a little better upstairs. Founding Farmers-DC is solid and yields an enjoyable experience every time.+Don't forget to ask about the sides that aren't listed on the menu.++Postpone all Secret Squirrel conversations since the tables are so close",6584,"Washington, DC",Founding Farmers,Alexis B.,"Washington, DC",2028228783,/biz/founding-farmers-washington
4.0,4.0,"This place was worth the wait.I had the lobster mac and cheese, the pot roast, cornbread, and their chili. Everything was delicious. The lobster mac and cheese really stood out for me with the chunks of sweet lobster and slight lemon flavor. This was probably one of the best dinners I had while on my visit in DC. It's also pretty close to the national monuments, so I walked off that dinner afterwards.",6584,"Washington, DC",Founding Farmers,Jenny B.,"San Diego, CA",2028228783,/biz/founding-farmers-washington
4.0,5.0,Oh my gosh this is the best restaurant I went to in DC! I'm from Atlanta and this place really has true soul food that will make you the happiest person alive anytime of the day. I got the chicken and waffles and my sister got the chicken pot pie and we both were so stuffed and even took home leftovers. It's as perfect as it gets! Also really great service!,6584,"Washington, DC",Founding Farmers,Hina S.,"Atlanta, GA",2028228783,/biz/founding-farmers-washington
4.0,5.0,"Out of all the restaurants I tried in DC, this was my absolute favorite. From the moment I walked in, to the moment I left I had a great experience. While we were waiting for our table, I was able to check out their lobby. They have a bunch of books available to read while waiting that feature farm-to-table freshness or about food in general. It resonates with their true food theme. It seems like the restaurant is busy at all times. I love how the bar is square and in the middle of the restaurant rather than at a side. After sitting down, I was already overwhelmed with all the amazing choices! I texted Justin for recommendations, but I didn't follow any of his :P. I ended up choosing a prosciutto bread and my cousin got a corn bread skillet. The corn bread was so soft! It came with a salty-butter which made it even better. The prosciutto bread was also awesome! It had figs and cheese on it too so it was a great start to the meal. I tried their ""Constitution"" drink too with blueberry and lemon. Such a great mix! They really know their cocktails at Founding Farmers.I was already full before getting my entrée: Fried Chicken Salad. The chicken tenders were flavorful, soft, and fresh. I actually didn't really like the salad part of it, just the chicken. But I could see myself liking some of their burgers and sandwiches. My cousin got the shrimp louis cobb salad and it looked like it was great. She agreed that she would not get a salad again, but she has been to Founding Farmers before. For dessert, we tried their warm beignets! I loved the raspberry sauce it came with. It also comes with chocolate and caramel. But all I needed was to douse my beignet in lots of raspberry. Love this place!",6584,"Washington, DC",Founding Farmers,Ravi B.,"Lawrenceville, GA",2028228783,/biz/founding-farmers-washington
4.0,4.0,"Their skillet cornbread is probably the best cornbread I've had.  It's moist and sweet, with lots of kernels throughout.  It goes really well with the honey and butter.  Fried green tomatoes are also delicious.  Super crispy, but not oily.  Kettle popcorn is also good especially since it's served pipping hot.  The smell itself is very intoxicating. Chicken pot pie is good but the biscuit that comes with it is amazing.  It was big and dense and it complements the dish really well.  Shrimp and grits is also tasty, but a bit watery.  Food is a bit on the heavy side, but well worth the indulgence.  Portions are also quite generous. The place is noisy and kinda cramp.  Servers are nice but their so busy that it's hard to get their attention.  Reservations are highly recommended.",6584,"Washington, DC",Founding Farmers,Samantha C.,Bay Area,2028228783,/biz/founding-farmers-washington
4.0,5.0,"I love founding farmers. I ate here in the morning with my girlfriend for breakfast (hangover mash--which comes with corned beef hash and eggs topped with chili), and we enjoyed it so much we booked a reservation for dinner (which was also amazing--I had the pot roast). This restaurant has an ethos of local, organically sourced ingredients for everything. The waiters and servers we had were all excellent, top notch. The atmosphere is nice. The cocktails are great. The food though is what really sets this restaurant apart--imagine homestyle, soul food that your mama makes. We had such a great time at that restaurant, and were so sad when we went back to NYC.Overall, this is hands down one of the very best restaurants I've ever been to. It almost resets the bar for a 5 star restaurant.Pro-tip: There is almost always an hour long wait for this place, so 1) you know it's great, but 2) show up early or make a res and walk around.",6584,"Washington, DC",Founding Farmers,Ben T.,"Manhattan, NY",2028228783,/biz/founding-farmers-washington
4.0,5.0,"Bottom Line; The food is AWESOME. I can't get enough of this place. I go for brunch sometimes with my friends. We normally sit at the bar because it is always very very crowded and we are normally very very hungry (and hung over). The red velvet pancakes are my favorite. A tad bit expensive once you start to add individual items, but I guess you only live once - therefore I only go there once every couple of weeks/months lol. Indulge on some good food! Savor that $30 breakfast lmao.",6584,"Washington, DC",Founding Farmers,Phil G.,"Washington, DC",2028228783,/biz/founding-farmers-washington
4.0,5.0,"Delicious! Everything from the french-press coffee, to the the savory tomato florentine benedict, the crisp side salad, and the sweet waffles was yummy. Every dish that passed by me looked tantalizingly scrumptious. The restaurant itself is beautiful - large, clean, modern, two floors, lots of natural sunlight, with a splendid island bar in the center. Service is lighting fast too. Ask for tabasco sauce and whoosh! - it's there 30 seconds later. Plus the waiter was kinda cute. Always a bonus. ;-)",6584,"Washington, DC",Founding Farmers,Rashmi S.,"Columbus, OH",2028228783,/biz/founding-farmers-washington
4.0,4.0,"My husband and I stumbled on this place in Foggybottom when we realized we were far from our original plan (Penn Quarter) for burgers. The place looked fun and fancy, and everytime we passed by it, it was packed. It had to be good, amirite? :) Turns out it was. Indeed it was packed, about an hour wait to sit down, but you can be served right away at the bar if there were chairs available. Luckily we found a couple of seats and were served right away. This establishment focuses on locally grown and fresh ingredients, so that being said, there are NO fountain drinks! They have fresh squeezed lemonade, iced tea or orange juice. I asked for a diet coke and was given a glass of ice (LOTS of it too! Just the way I like it!) and a can. I ordered the bleu cheese burger with bacon and fries, and hubs got the burger with goat cheese with chips. I was VERY satisfied with my food! Would have loved more fries, as I was starving and we had already walked 2 miles, but that's ok. The burger was very tasty and the balsamic onions and bleu cheese was a very tasty compliment to the meat. Hubs was satisfied with his burger as well. I should've got the chips, because they seemed to have served more. Very good restaurant, definitely recommend!",6584,"Washington, DC",Founding Farmers,Ferlay S.,"Northridge, CA",2028228783,/biz/founding-farmers-washington
4.0,3.0,"We came here with high expectations Bc we love the MOCO founding farmers. This location had lots more reviews so we were expecting it to be different, however I was a little disappointed.Moco's food is far better. We ordered our usual and their signature chicken and waffles.  Chicken and waffles were great and cooked and flavored to perfection, but the Mac and cheese was a bit undercooked and dry. MOCO always serves their Mac and cheese warm and fresh- noodles are always the perfect amount of chewy.  We got a side of cucumber/ snap peas.  It was served lukewarm and the cucumber was rather soggy.  I was hoping for a cool salad taste/texture.Our second dish was the scallops. The scallops were served on a bed of risotto. The flavor of the risotto was great, but was a bit undercooked- much like the Mac and cheese noodles.  There were 4 pieces of scallops.  Crispy and brown on the outside and chewy on the inside! Loved it but I did feel so gritty rocks with every bit of my scallops. Maybe they didn't clean it enough. Overall okay but prefer to eat at MOCO founding farmers.",6584,"Washington, DC",Founding Farmers,june k.,"Durham, NC",2028228783,/biz/founding-farmers-washington
4.0,4.0,"This is an expensive restaurant with decent food and good drinks.I am from the deep south, so I bring with me preconceived notions about southern food. This is a fusion restaurant, so it is by definition not within the southern culinary doctrine. Nevertheless, there changes are interesting and generally good. Still, it is not worth an exceptionally long wait.The drinks (bar) are actually really creative and worth trying. I have no recommendations because they are all good. If you've had a drink elsewhere, try it here. You will probably like it better from Founding Farmers.",6584,"Washington, DC",Founding Farmers,David G.,"Capitol Hill/Northeast, Washington, DC",2028228783,/biz/founding-farmers-washington
4.0,5.0,"Thank you Founding Farmers for one of the best meals I've had all summer!!Our 45 min wait took less than 30min which was fine by me cuz this place was poppin' on a Sunday night!Let's cut to the chase.Drink:*The ConstitutionI think the name of this gin drink itself deserves some award. The blueberries were fresh and it was a well balanced cocktail.Appetizer: *CORNBREADDon't waste your time looking at anything else. Moist cornbread with little corn niblets smothered in honey butter how can you resist...I definitely had too much but I don't regret it. Main course:*Pork Ribs! I was feeling bbq and homesick and the thought of tender ribs just latched onto my words and I ordered them with no hesitation.  The ribs were perfect! So meaty and tender and the sauce was perfect. The mint watermelon and mashed potatoes were so good too!I couldn't even breathe after shoving all this food down my throat.FF, I'm coming back for your chicken and waffles next time. I'm in love.",6584,"Washington, DC",Founding Farmers,Connie J.,"San Antonio, TX",2028228783,/biz/founding-farmers-washington
4.0,5.0,"The wait for this place would have been ridiculous had we not manage to get a shared table almost immediately after walking in without a reservation. We shared the table with a stranger, but the food and service was well worth it. Our waiter, Oscar was very passionate about the food, knew about everything on the menu, and gave the best suggestions to my friends and I, who had never eaten there. He was a super cool guy who also knows what vegan and vegetarian items to recommend.Friends got the chicken and waffles and the vegetable and avocado sandwich which set the standard for how every vegetarian sandwich should be; filled with rich avocado, tomato, and mouthwatering veggies. The Butcher's hot dogs and rolls were amazing with buttery soft rolls and great choices for your 3 rolls. The blue cheese bacon with arugula and sautéed onion was yummy, but the tomato chow chow (like a sweetish tomato relish) was the bomb! I should have listened to our waiter and gone for all 3 dogs with the chow chow. Mint watermelon side (also ordered for me by the waiter) was totally on point. Friend's loved their meals and we left very full and extremely satisfied. Giving 5 stars for the experience and short wait, but for most people visiting around lunchtime it would likely be much longer. Nevertheless, I would totally visit again!",6584,"Washington, DC",Founding Farmers,Cathleen H.,"Fairfax, VA",2028228783,/biz/founding-farmers-washington
4.0,3.0,"Isn't the name Founding Farmers clever for a DC restaurant?ADORABLE. Is their brunch worth an hour wait?  NOPE.What about a grabbing a seat at the cool first come first served bar instead?SOLD.What about the arrival of the food?  WAY TOO FAST. How was the Fried Chicken?  TRAGIC. The four, salty lukewarm chicken nuggety type things were so very sad.Did the gravy help?  KINDA.   (aka The Sriracha Effect  theoatmeal.com/comics/sr…)Well how was the waffle at least?AWESOME. Airy with crispy edges and almost didn't ""need"" syrup and butter. (Almost.)And the over easy eggs?  ON POINT.Was the dish worth $12?MEH.Isn't it kind of weird to eat both chicken and eggs in one meal?*SHRUG*How did other brunch dishes look? BETTER. (aka Hangover Hash and Plate Sized Pancakes. The hash browns looked a bit undercooked from my slightly stalkerish vantage point).How was the service?  PRESUMPTUOUS.  Pet Peeve: Providing change without $1 bills after lackluster service. Really?Would you go back?  MAYBE. But only with a reservation for a booth and without sad Fried Chicken.",6584,"Washington, DC",Founding Farmers,Amy C.,"San Francisco, CA",2028228783,/biz/founding-farmers-washington
4.0,5.0,"Heck YEAH! What a breakfast! This place will satisfy the lumberjack and the librarian.From the espresso to the bacon, these guys know how to rock a breakfast brunch. We had first attempted to make reservations, but none were available, so we inquired about the bar seating and were informed that it was a first come, first served bar. The place was supposed to open at 9, but the doors were unlocked at 8:45 to seat the crowd that had already started to form outside. We snuck in at the perfect time to be the first ones at the bar, and we were greeted by one of our favorite waitresses of the trip. She was hilarious! My friend ordered the Founders Breakfast with salad and fruit, and I had the ham and eggs. Oh, my! Delectable! I would definitely make this a planned stop if you are in the DC area. It rocked our world!",6584,"Washington, DC",Founding Farmers,Maura U.,"Pittsburgh, PA",2028228783,/biz/founding-farmers-washington
4.0,5.0,"I had to see for myself - why Founding Farmers is such a big deal... Well I'm visiting from Fort. Lauderdale, Florida and made a reservation for this restaurant more than 1 week in advance through Open Table. My boyfriend & myself were seated upstairs with a waiter by the name of Kelvin. We weren't really sure what to order since everything on the menu sounded great, so Kelvin provided his input of the ""signature"" chicken and waffles and the pot roast. We started with the corn bread. The corn bread was defiantly the best corn bread I've ever had. You could taste the freshness from the corn, it tasted as if it was just cut from the cob. I ordered the ""signature"" chicken and waffles and my boyfriend ordered the BBQ ribs. The ""signature"" chicken and waffles were served with macaroni and cheese and your choice of a side, so I ordered the mashed potatoes. It was also served with gravy on the side (per Kelvin's suggestion) and syrup on the side. This meal was absolutely delicious. It may have been the best chicken and waffles that I've ever had. And to be honest - this macaroni and cheese and mashed potatoes is the best I've ever had. (I always rate J Alexander's #1 did their macaroni and cheese and mashed potatoes but now Founding Farmers is #1). The BBQ ribs were served with two sides. My boyfriend ordered  the green beans and the French fries (that wasn't on the list of sides). The BBQ ribs were filled with so much meat. I couldn't believe how much meat was on the bone. The green beans were really fresh and the French fries didn't taste greasy at all.  Overall: DELICIOUS food, great service, and reasonable prices. I wish there was a Founding Farmers in South Florida!",6584,"Washington, DC",Founding Farmers,Danielle Y.,"Fort Lauderdale, FL",2028228783,/biz/founding-farmers-washington
